228-2500-117,VEX Axle 2 M Metal
228-2500-074,VEX Axle 2 M Plastic
228-2500-080,VEX Axle 2 M Plastic with End Stop
228-2500-078,VEX Axle 2.5 M Plastic with Stop at 0.5 M
228-2500-075,VEX Axle 3 M Plastic
228-2500-081,VEX Axle 3 M Plastic with End Stop
228-2500-094,VEX Axle 3.5 M Plastic with Stop at 0.5 M
228-2500-120,VEX Axle 4 M Metal
228-2500-076,VEX Axle 4 M Plastic
228-2500-082,VEX Axle 4 M Plastic with End Stop
228-2500-079,VEX Axle 4.5 M Plastic with Stop at 0.5 M
228-2500-077,VEX Axle 5 M Plastic
228-2500-083,VEX Axle 5 M Plastic with End Stop
228-2500-122,VEX Axle 6 M Metal
228-2500-124,VEX Axle 8 M Metal
228-2500-114,VEX Axle Spacer 0.25 M
228-2500-112,VEX Axle Washer
228-2500-157,VEX Beam 1 x 2 with Rubber Band Anchor
228-2500-002,VEX Beam 1 x 3
228-2500-141,VEX Beam 1 x 3 with Middle Axle Hole
228-2500-003,VEX Beam 1 x 4
228-3167-020,VEX Beam 1 x 4 Magnetic North Pole Tip
228-3167-010,VEX Beam 1 x 4 Magnetic South Pole Tip
228-2500-003,VEX Beam 1 x 4 with Middle Hole
228-2500-005,VEX Beam 1 x 6
228-2500-005,VEX Beam 1 x 6 with Middle Hole
228-2500-007,VEX Beam 1 x 8
228-2500-009,VEX Beam 1 x 10
228-2500-011,VEX Beam 1 x 12
228-2500-017,VEX Beam 2 x 2
228-2500-225,VEX Beam 2 x 2 with Axle Twist Lock
228-2500-226,VEX Beam 2 x 2 with Axle Twist Lock Nut
228-2500-140,VEX Beam 2 x 2 with Center Axle Hole
228-2500-019,VEX Beam 2 x 4
228-2500-021,VEX Beam 2 x 6
228-2500-023,VEX Beam 2 x 8
228-2500-025,VEX Beam 2 x 10
228-2500-026,VEX Beam 2 x 12
228-2500-028,VEX Beam 2 x 16
228-2500-030,VEX Beam 2 x 20
228-2500-145,VEX Beam 3 x 2 Bent 90
228-2500-151,VEX Beam 3 x 2.1 x 3 Double Bent 45
228-2500-147,VEX Beam 3 x 3 Bent 30
228-2500-148,VEX Beam 3 x 3 Bent 45
228-2500-149,VEX Beam 3 x 3 Bent 60
228-2500-144,VEX Beam 4 x 3 T-Shaped
228-2500-150,VEX Beam 5 x 3 Bent 90
228-2500-130,VEX Connector 1 Wide Base 1 x 1.5 Tab
228-2500-133,VEX Connector 2 Wide Base 1 x 1.5 Tab
228-2500-132,VEX Connector 2 Wide Base 1 x 2 Tab
228-2500-131,VEX Connector 2 Wide Base 1 x 2.5 Tab
228-2500-128,VEX Connector 2 Wide Base 2 x 1 Tab
228-2500-134,VEX Connector 2 Wide Base 2 x 2 Tab
228-2500-220,VEX Connector 2 Wide Base 2 x 2 Tab with 4 Pins
228-2500-135,VEX Connector 2 Wide Base 2 x 2.5 Tab
228-2500-127,VEX Connector Corner 1 x 1 x 1
228-2500-126,VEX Connector Corner 2 x 2 x 1
228-2500-213,VEX Gear 12 Tooth
228-2500-214,VEX Gear 36 Tooth
228-2500-218,VEX Gear 36 Tooth Crown
228-2500-215,VEX Gear 60 Tooth
228-2500-216,VEX Gear Rack
228-2500-217,VEX Gear Rack Slider
228-2500-219,VEX Gear Worm Screw
228-2500-060,VEX Pin 1 M
228-2500-061,VEX Pin 1.5 M
228-2500-062,VEX Pin 2 M
228-2500-073,VEX Pin Idler 1 M
228-2500-084,VEX Pin Idler 1 M Through
228-2500-170,VEX Pin Joiner 1 M
228-2500-172,VEX Pin Joiner 1 M with Perpendicular Pin Hole
228-2500-171,VEX Pin Joiner 2 M with Center Pin Hole
228-2500-064,VEX Pin Standoff 0.5 M
228-2500-065,VEX Pin Standoff 1 M
228-2500-067,VEX Pin Standoff 2 M
228-2500-070,VEX Pin Standoff 4 M
228-2500-072,VEX Pin Standoff 6 M
228-2500-125,VEX Pin with Axle Bush
228-2500-040,VEX Plate 4 x 4
228-2500-042,VEX Plate 4 x 6
228-2500-043,VEX Plate 4 x 8
228-2500-045,VEX Plate 4 x 12
228-2500-143,VEX Rubber Axle Bush
228-2500-230,VEX-2 Chain Link
228-2500-231,VEX-2 Chain Tread
228-2530,VEX-2 Controller
228-2500-242,VEX-2 Intake Flap Long
228-2500-241,VEX-2 Intake Flap Medium
228-2500-240,VEX-2 Intake Flap Short
228-2500-163,VEX-2 Pulley 10 mm Diameter
228-2500-164,VEX-2 Pulley 20 mm Diameter
228-2500-165,VEX-2 Pulley 30 mm Diameter
228-2500-166,VEX-2 Pulley 40 mm Diameter
228-3015,VEX-2 Radio Module 2.4 GHz
228-2621,VEX-2 Radio Module 900 MHz
228-2540,VEX-2 Robot Brain
228-2500-221,VEX-2 Rubber Belt 30 mm Diameter
228-2500-222,VEX-2 Rubber Belt 40 mm Diameter
228-2500-223,VEX-2 Rubber Belt 50 mm Diameter
228-2500-224,VEX-2 Rubber Belt 60 mm Diameter
228-2677,EX-2 Sensor Bumper Switch
228-3012,VEX-2 Sensor Color
228-3011,VEX-2 Sensor Distance
228-3014,VEX-2 Sensor Gyro
228-3010,VEX-2 Sensor Touch-LED
228-2780-200,VEX-2 Smart Cable 20 cm
228-2780-300,VEX-2 Smart Cable 30 cm
228-2780-400,VEX-2 Smart Cable 40 cm
228-2780-600,VEX-2 Smart Cable 60 cm
228-2560,VEX-2 Smart Motor
228-2560b,VEX-2 Smart Motor Axle Hub
228-2560c01,VEX-2 Smart Motor Body Assembly
228-2500-232,VEX-2 Sprocket Wheel 8 Tooth
228-2500-233,VEX-2 Sprocket Wheel 16 Tooth
228-2500-235,VEX-2 Sprocket Wheel 24 Tooth
228-2500-236,VEX-2 Sprocket Wheel 32 Tooth
228-2500-237,VEX-2 Sprocket Wheel 40 Tooth
228-2500-207,VEX-2 Tire 100 mm Travel 31.8 x 6.3
228-2500-210,VEX-2 Tire 160 mm Travel 50.9 x 18.8
228-2500-209,VEX-2 Tire 200 mm Travel 63.7 x 18.8
228-2500-212,VEX-2 Tire 250 mm Travel 79.6 x 18.8
228-2500-239,VEX-2 Traction Link
228-2500-194,VEX-2 Turntable Large Hub
228-2500-195,VEX-2 Turntable Large Plate
228-2500-191,VEX-2 Turntable Small Hub
228-2500-193,VEX-2 Turntable Small Plate
228-2500-208,VEX-2 Wheel 44 x 18.8
228-2500-211,VEX-2 Wheel 65 x 18.8 - end
